,train_loss,train_accuracy
0,3.4876279271973503,0.10199999999999991
1,2.801505656242371,0.11299999999999998
2,2.59606311056349,0.1094
3,2.528836433622572,0.14879999999999996
4,2.479601629840003,0.15739999999999993
5,2.447496440940433,0.1493999999999999
6,2.4180991162194148,0.18199999999999988
7,2.3809208944108753,0.18139999999999998
8,2.3528094016181096,0.16559999999999994
9,2.3308565470907423,0.1912
10,2.2978974392679,0.20680000000000004
11,2.2412313903702628,0.2314
12,2.2402622241444066,0.23499999999999993
13,2.1882280810674035,0.24579999999999988
14,2.182176220417023,0.2528
15,2.174215940104591,0.25299999999999995
16,2.160746682749854,0.2695999999999999
17,2.115061835712857,0.2438
18,2.119988612863753,0.2714000000000001
19,2.0841011309623716,0.2770000000000001
20,2.0841996007495456,0.26520000000000005
21,2.063066003322601,0.2824000000000001
22,2.070004074573517,0.2754
23,2.0596292577849495,0.29080000000000017
24,2.0358028422461616,0.28340000000000015
25,2.0501445672247147,0.3060000000000002
26,2.0202270817756647,0.29500000000000015
27,2.013440520763397,0.28960000000000014
28,2.0009524295065133,0.29900000000000004
29,1.9968275629149546,0.31280000000000024
30,2.020054860379961,0.2944000000000001
31,1.962181213431888,0.3180000000000001
32,1.9837588267856172,0.30640000000000017
33,1.9783245348930358,0.3098
34,1.9932280728552079,0.3134
35,1.9515916159417894,0.32660000000000006
36,1.9392182336913213,0.34480000000000005
37,1.955436777803633,0.3340000000000001
38,1.95274126317766,0.32860000000000006
39,1.935638661119673,0.3244
40,1.9398173377248973,0.32040000000000013
41,1.9293163614802893,0.32580000000000015
42,1.9326454136106705,0.3480000000000001
43,1.9043416232532924,0.35519999999999996
44,1.8762509695688885,0.3408000000000001
45,1.8859247085783213,0.35100000000000015
46,1.8822472087542212,0.3471999999999999
47,1.9081337878439164,0.36620000000000025
48,1.8929168142212762,0.36879999999999996
49,1.8454825862248736,0.36700000000000016
50,1.8784357897440593,0.3732000000000001
51,1.840973740816116,0.36440000000000017
52,1.8660392800966896,0.37660000000000005
53,1.8330941857231988,0.36320000000000013
54,1.8514373930295307,0.36279999999999996
55,1.845611823134952,0.39239999999999997
56,1.8368662695089977,0.39020000000000016
57,1.8263780993885461,0.3808
58,1.847805213928223,0.3912000000000001
59,1.8126983927355873,0.3898000000000001
60,1.8120589966244167,0.3864
61,1.8001034280988903,0.379
62,1.800171370241377,0.38120000000000026
63,1.8017505065600077,0.3854000000000001
64,1.7929222808943854,0.3754000000000002
65,1.7939468244711556,0.40680000000000005
66,1.7743457566367256,0.40880000000000016
67,1.7518452025784388,0.3940000000000002
68,1.7675228756003911,0.4091999999999999
69,1.7730955266952517,0.3922000000000002
70,1.773888071642982,0.40780000000000016
71,1.7550521919462418,0.3954
72,1.767856696976556,0.40619999999999995
73,1.7705636986096702,0.40120000000000033
74,1.7363170064820186,0.4094000000000001
75,1.7450827982690598,0.4146000000000001
76,1.7232150227493712,0.41000000000000014
77,1.7545500349998473,0.41000000000000014
78,1.7245904151598617,0.4004000000000002
79,1.7269345650408003,0.41460000000000025
80,1.7178896625836688,0.41820000000000035
81,1.720857847266727,0.40320000000000006
82,1.6860625379615364,0.41820000000000024
83,1.6857489409711626,0.40680000000000005
84,1.6812825926144916,0.41880000000000017
85,1.70923501001464,0.4320000000000001
86,1.7161921040217085,0.4180000000000002
87,1.691914070579741,0.4330000000000001
88,1.693993152247535,0.42940000000000017
89,1.7080210799641076,0.41000000000000014
90,1.6703401619858211,0.433
91,1.6732536037762962,0.43800000000000006
92,1.676347307364146,0.431
93,1.6603156542778013,0.43260000000000026
94,1.6820393353038365,0.4376000000000003
95,1.6829269765483008,0.4434000000000001
96,1.6495239913463595,0.4360000000000001
97,1.6554802236292097,0.43140000000000006
98,1.6706046530935499,0.4294000000000001
99,1.6593336114618513,0.4434
